modelo,cv_accuracy_mean,cv_accuracy_std,cv_f1_macro_mean,cv_f1_macro_std,cv_recall_macro_mean,cv_recall_macro_std,cv_precision_macro_mean,cv_precision_macro_std,test_accuracy,test_f1_macro,test_recall_macro,test_precision_macro
LogisticRegression,0.8598107784431137,0.01782314696429577,0.8597709004212554,0.017834927734762886,0.8597880478087649,0.017813804005573784,0.8601482283977273,0.017750601973304428,0.8438202247191011,0.7758876811594202,0.8399049591546504,0.7478588704618614
LinearSVC,0.860208383233533,0.019694629029153265,0.8601677188305754,0.019694607984215535,0.8601832669322709,0.019683443272972615,0.8605699088658693,0.019724753065172997,0.8421348314606741,0.7744676533913495,0.8401390767274066,0.7464620259556632
DecisionTreeClassifier,0.8813852295409182,0.008685250712898086,0.8812517927010391,0.008628903929666193,0.8813689243027888,0.008671001712265768,0.8831446687279243,0.009574808190891982,0.8280898876404494,0.7693984240447486,0.8642902099653506,0.7427535232832021
KNeighborsClassifier,0.8298642714570856,0.015371928119752173,0.8296782847979642,0.015474067492444152,0.8298390438247012,0.015394482030354411,0.8311549472596564,0.014775483223419168,0.8095505617977528,0.7390926484418069,0.815344392394119,0.7157941329009413
